review,true_label,pred_label
bar relationship near reveal impact particularly foot arm staff station room evidence eight administration price test voice reveal read,1,2
live picture last free guess night use election go quickly paper officer practice mr without expect foot,1,2
throughout staff knowledge heavy group concern recent across leg view know develop exactly tv group bed party field,0,2
leave really group apply guess player western factor police message short consumer behind sell step,0,2
require likely evidence claim stuff parent concern buy collection provide action event key concern research throughout mother kind answer play mission,2,2
upon thought long rich bit market different go local sit theory direction ago site cultural part raise adult lot,2,2
bill huge machine church feeling discover significant easy evening buy six pretty stand theory technology baby mean region run sea,1,2
continue issue appear figure must girl ago participant throw two special opportunity serious game stop role save arm body,0,2
light across two water local across involve fall discus nature country think join economic resource position,1,2
successful treat quality skin book figure drive special produce wait young think assume,1,2
manager phone modern cause industry across brother yet result mission past practice center model daughter pas research mind economy,0,2
decision recently pull eight allow system whose place generation debate world fight seem later level choose person north indeed share seem exist,0,2
woman add play structure however activity lose could thank wife yeah law enjoy key seat pretty method front,1,2
kitchen public set action bring find bill pick discussion state must particular child senior result american study eight,1,2
enjoy opportunity help put short expect article opportunity campaign hand special agree game best generation group goal product easy possible travel assume figure front,0,2
since crime south pas lead senior manage computer medical exist population enough mother game question personal born series consider according throw meeting many,2,2
week tax see attack newspaper decade although read party piece doctor give west,0,0
strong back democratic mind big discus country moment eat personal condition see indeed black police group learn professor third,2,2
decision total modern message company charge pretty none least teach cause size type attention stuff low paper congress remain medical probably else,1,2
computer western keep pay reach term simply part station result hour voice occur movie political,0,2
opportunity ask yet large practice time live relationship great western water road require make region wall worry democrat laugh mr,0,2
become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science,1,2
practice hard attack despite feeling work big movie commercial outside wonder recent question win really forward play fish surface lot friend,0,2
follow best major real day market specific property coach federal cut player wind away sure degree enter father source person response,0,2
player continue stand price color score national lose face beyond open happen every history son less spend challenge exist build hope,2,2
radio hundred place movement ball least short computer always course receive piece grow plan,1,2
chance expect peace claim movement win stuff realize project child draw american first call,2,2
consumer face pm pay evening performance fly charge wide win example account bed,2,2
pattern ahead compare form full public trouble something population loss physical throughout mr leg sport argue minute north question new affect officer forward trouble,2,2
color hear region cup consider way late sport control arrive consumer else total impact phone person coach fall help everybody,2,2
attack find could really mr former article light choose go next general add cover exist treatment international role happen short various,2,2
anything ahead tough anyone beat hot relate picture real pattern fine stage require provide move wind sense letter capital spend turn life lay,0,2
occur option across mention mean result else fast environmental budget difference move factor policy walk everyone card,2,2
officer learn raise kitchen drop computer left political study training reveal attorney security radio image mind like history situation whatever third mr,0,2
newspaper might piece fact huge similar experience coach family try ready tough less position bed may,0,2
event physical factor trouble recently reveal describe management building hard sense mean single improve close debate ago police put left gas human,0,2
american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,2,2
fund stand final important occur coach deal personal particularly music wear sister four good decision movement world study,2,2
citizen explain move drop military matter human arm recently book likely true enjoy air full end free share cause natural safe,2,2
agent activity show check peace win score candidate law place group dream today father movement early sister skill side process,2,2
usually class several whatever side seem give remember play happy prepare unit save drug alone spend piece put,0,2
decision measure soon war play woman remain early work game least outside administration reality position ability live top,2,2
hear officer campaign wall act special fund industry rate idea single mr age size two child well,2,2
car address son week beat economic front house ever environmental economy president sign activity fill produce structure summer kitchen admit across already grow point,0,2
compare today add water garden finally difference everything sing smile practice ground notice police activity second standard skin together scientist hair allow phone weight medical even,0,2
include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready,2,2
floor hospital return size long attack official certain follow camera good management loss win pm catch,1,2
customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,1,2
raise current career never feeling beat note leave contain site street benefit money reason mean rate group government level leave tree ago,0,2
happen within nothing relate loss real center rule worker worker single let model particular early piece professional protect range much,0,2
